Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
82,82,iPhone 16 Plus 256GB | Chính hãng VN/A,27.690.000đ,https://cellphones.com.vn/iphone-16-plus-256gb.html,6.7 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu caoCamera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2796 x 1290-pixel,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,60Hz,Dynamic Island,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps",Flash True TonePhotonic EngineDeep FusionHDR thông minh thế hệ 5Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độChế độ Ban ĐêmChụp ảnh toàn cảnh Panorama (lên đến 63MP)Phong Cách Nhiếp Ảnh thế hệ mới nhấtẢnh không gian,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps",GPU 5 lõi mới,"GPS, GLONASS, Galileo, QZSS và BeiDou","160,9 x 77,8 x 7,80 mm",199 gram,"Sạc không dây lên đến 25WSạc không dây Qi2 lên đến 15WSạc không dây Qi lên đến 7,5W",USB Type-C,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế,Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7 (802.11be) với 2x2 MIMO7,Bluetooth 5.3,09/2024,,,,5G,,Kính,Nhôm,"Face ID, SharePlay",,,Apple PaySOS Khẩn CấpPhát Hiện Va Chạm,"AAC, APAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",,,,
83,83,Samsung Galaxy S24 Ultra 12GB 256GB,25.290.000đ,https://cellphones.com.vn/samsung-galaxy-s24-ultra.html,6.8 inches,Dynamic AMOLED 2X,"Camera chính: 200MP, Laser AF, OISCamera: 50MP,  PDAF, OIS, zoom quang học 5xCamera tele: 10MPCamera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚","12 MP, f/2.2",Snapdragon 8 Gen 3 For Galaxy,Có,256 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Android 14, One UI 6.1",1440 x 3120 pixels,"Độ sáng cao nhất 2,600 nits, 120Hz, Corning® Gorilla® Armor®, 16 triệu màu","3.39GHz,3.1GHz,2.9GHz,2.2GHz",120Hz,Đục lỗ (Nốt ruồi),"8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 1080p@960fps","Trợ lí Chỉnh ảnh (Gợi ý chỉnh sửa, Hậu kì sáng tạo)Chụp đêm NightographyChế độ Super HDRChụp hình & quay phim với Portrait AIChống rung quang học OIS & Chống rung kỹ thuật số AI VDISZoom kĩ thuật số 100x, Zoom quang học 3x & 10xCh",,Adreno 750 (1 GHz),"GPS, Glonass, Beidou, Galileo, QZSS",162.3 x 79.0 x 8.6mm,232g,"Sạc nhanh 45W,  Chia sẻ pin không dây, Sạc siêu nhanh, Sạc không dây",USB Type-C,IP68,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế,Cảm biến trọng lực","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI, Đi kèm bút cảm ứng","802.11a/b/g/n/ac/ax/be 2.4GHz+5GHz+6GHz, EHT320, MIMO, 4096-QAM",v5.3,1/2024,12 GB,"5,000mAh",,5G,Cảm biến vân tay trong màn hình,Kính,Titanium,"Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC), Chặn cuộc gọi, Chặn tin nhắn, Tối ưu game (Game Booster), Tối ưu hiển thị (Vision Booster), Samsung Wallet (Samsung Pay), Thu nhỏ màn hình sử dụng một tay, Không gian thứ hai (Thư mục bảo mật),",Bút SPEN - tích hợp sẵn lên máy,,"Tính năng AI: Khoanh tròn để tìm kiếm,  trợ lí note, Trợ lí chình ảnh chuyên nghiệp, Phiên dịch cuộc gọi trực tiếpTiện ích trên màn hình khoá và Màn hình Always OnTrợ lý chat thông minh","Âm thanh AKG, Âm thanh Dolby Atmos",Không hỗ trợ,,,
84,84,Samsung Galaxy S26 Ultra 16GB 1TB,41.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra-16gb-1tb.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,1 TB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,120Hz,Đục lỗ (Nốt ruồi),,Zoom quang học 100xKhoá Đường Chân Trời chuẩn điện ảnh (Horizontal Lock)Quay Log VideoChế độ quay phim 10-bit HDRChế độ Chân dungTự động lấy nétQuay Video đêm,,,Có,163.6 x 78.1 x 7.9mm,214g,Hỗ trợ sạc tối đa 60W,USB Type-C,,,"Hỗ trợ 5G, Bảo mật vân tay, Kháng nước, kháng bụi, Điện thoại AI",Có,Có,03/2026,16 GB,5000 mAh,,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,Privacy Display (Chống nhìn trộm chủ động)Chỉnh sửa ảnh thế hệ mớiKhông gian sáng tạoGợi ý thông minhKhoanh tròn để tìm kiếmLọc cuộc gọi tự độngProscaler & 10-bit mDNIe,,,,,,,,
85,85,Samsung Galaxy S25 Ultra 512GB,29.790.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra-512gb.html,6.9 inches,Dynamic AMOLED 2X,"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""",12 MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,512 GB,2 Nano-SIM + eSIM,Android 15,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,,120Hz,,,Chế độ quay phim 10-bit HDRQuay Log VideoZoom quang học 100xChụp hình Super HDRChân dungTự động lấy nétQuay Video đêm,,,Có,Dài 162.8mm - Ngang 77.6mm - Dày 8.2mm,218g,Sạc nhanh 45W,USB Type-C,IP68,,"Hỗ trợ 5G, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI, Đi kèm bút cảm ứng",Có,Có,02-2025,12 GB,5000 mAh,,5G,Cảm biến vân tay trong màn hình,,Titanium,Thực hiện tác vụ liên ứng dụng bằng lời nói (Seamless Actions across Apps),,,Biên tập Video thông minh (Auto trim)Khoanh tròn để tìm kiếm (Circle to Search)Trợ lý cuộc gọi (Call Assist)Trợ lý chỉnh ảnh (Photo Assist),Lọc âm thanh (Audio Eraser),,,,
86,86,Samsung Galaxy A17 8GB 128GB,5.190.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17.html,6.7 inches,Super AMOLED,"Chính 50 MPPhụ 5 MP, 2 MP",13 MP,MediaTek Helio G99,Có,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android 15,1080 x 2340 pixels (FullHD+),Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7,8 nhân (2 nhân 2.2GHz & 6 nhân 2.0GHz),90Hz,Giọt nước,HD 720p@120fpsFullHD 1080p@30fps,"Sau: Chống rung quang họcZoom quang học 10xGóc siêu rộngCận cảnhPanoramaChế độ ban đêmChuyên nghiệpChân dungHyperlapseChuyển động siêu chậmTự động lấy nétThức ănTrước: Làm đẹp, Fun Sticker",,Mali-G57,"QZSS, GPS, GLONASS, GALILEO, BEIDOU",164.4 × 77.9 × 7.5 mm,190g,Sạc nhanh 25W,USB Type-C,IP54,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi","802.11 a/b/g/n/ac 2.4GHz+5GHz, WiFi Direct",v5.3,09/2025,8 GB,Li-Ion 5000 mAh,,4G,Cảm biến vân tay cạnh bên,Nhựa,Nhựa,"Mở khóa khuôn mặt, Smart Switch",,Không,"Ghi âm, Ghi âm cuộc gọi",,"MicroSD, hỗ trợ tối đa 1 TB",,,
87,87,OPPO Reno12 5G 12GB 256GB,8.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno12-5g.html,6.7 inches,AMOLED,50MP + OISCamera góc rộng: 8MPCamera xóa phông: 2MP,32MP,MediaTek Dimensity 7300,Có,256 GB,,Android 14,,Tần số quét 120Hz,,120Hz,Đục lỗ (Nốt ruồi),,,,,,,,Sạc nhanh 80W,,,,"Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Điện thoại AI",,,,12 GB,5000mAh,,5G,,,,,,,,Loa kép,,,,
88,88,Samsung Galaxy A26 5G 8GB 128GB,6.690.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a26.html,6.7 inches,Super AMOLED,50MP + 8MP + 2MP,13MP,Exynos 1380 (Quartz),Có,128 GB,2 Nano-SIM,Android 15,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, 800 nits, Mặt kính Gorilla Glass Victus","2.4GHz,2GHz, Octa-Core",,,UHD 4K 3840 x 2160@30fpsQuay chậm (HD) 480fps@240fps,"Zoom quang học 10x, Chụp ban đêm, Chụp toàn cảnh Panorama, Chụp một chạm, Chụp làm đẹp, Chụp chuyên nghiệp, Chế độ quay chuyển động chậm, Chế độ quay chuyển động trôi nhanh, Chụp làm đẹp, Chụp ảnh chân dung",,Mali-G68,"GPS,Glonass,Beidou,Galileo,QZSS",164.0 x 77.5 x 7.7 mm,200g,Sạc nhanh 25W,USB Type-C,IP67,,,"802.11a/b/g/n/ac 2.4GHz+5GHz, VHT80WiFi Direct",v5.3,,8 GB,5000 mAh,,,Cảm biến vân tay cạnh bên,Kính,Nhựa,Khoanh tròn tìm kiếmTự động xoá vật thểTạo bộ lọc,,,Nhận diện khuôn mặt,,MicroSD (Up to 2TB),,,
89,89,HONOR X8d 8GB 128GB,7.790.000đ,https://cellphones.com.vn/dien-thoai-honor-x8d.html,6.77 inches,AMOLED,Camera chính 108MP (f/1.75) + Camera rộng 5MP (f/2.2),16MP (f/2.45),Snapdragon 6s 4G thế hệ 2,Có,128 GB,2 Nano-SIM,MagicOS 10 (Dựa trên Android 16),1080 x 2392 pixels,"Màu sắc: 1,07 tỷ màuCông nghệ Eye Comfort800 nit (điển hình) 1300 nit (loại HBM) 3000 nit (loại APL)Chất liệu kính Thủy tinh Aluminosilicate","Octa-core, 4 * A73 2,9 GHz + 4 * A53 1,9 GHz",120Hz,Đục lỗ (Nốt ruồi),Hỗ trợ quay video lên đến 1080P (1920×1080),"Ảnh, Video, Chân dung, Đêm, PRO, Chế độ xem kép, Chuyển động chậm, Toàn cảnh, Tua nhanh thời gian, Độ phân giải cao, Câu chuyện, Quét tài liệu, Chụp nụ cười, v.v.",1080P (1920×1080),Adreno 610,GPS / AGPS / Glonass / BeiDou / Galileo,"162,9 x 76,31 x 7,5mm",Khoảng 188g (bao gồm cả pin),45W HONOR SuperCharge,USB Type-C,IP65,"Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Cảm biến trọng lực","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","802.11 a/b/g/n/ac, 2.4GHz và 5GHz, WiFi/Wi-Fi Direct","LNA-LX2 BT5.0, hỗ trợ BLE, SBC, AACLNA-LX3 BT5.1, hỗ trợ BLE, SBC, AAC, LDAC",,8 GB,"6800mAh (giá trị định mức), 7000 mAh (giá trị điển hình)",,4G,Cảm biến vân tay cạnh bên,,,,,,,"Âm thanh HONOR, 300% Âm lượng âm thanh nổi",,,,
90,90,Xiaomi 15 5G 12GB 512GB,19.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15-12gb-512gb.html,6.36 inches,CrystalRes AMOLED,"Camera chính Leica: 50MP, ƒ/1.62, OIS, Tiêu cự tương đương 23mmCamera tele Leica: 50MP, ƒ/2.0, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115°","Camera trước: 32MP, ƒ/2.0, 90°,  Tiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,2670 x 1200 pixels,"Độ sáng 3200 nitsTự động tinh chỉnh tần số quét 1-120HzTốc độ phản hồi cảm ứng lên đến 300HzHỗ trợ 68 tỷ màuDải màu DCI-P3Hỗ trợ Dolby Vision, HDR10+, HDR10Độ sáng DCCông nghệ cảm ứng ướt","2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz",120Hz,Đục lỗ (Nốt ruồi),(HDR và Dolby Vision)Quay video 8K@24/30fpsQuay video 4K@24/30/60fps1080p@30/60fps720p@30fpsVideo chuyển động chậm 720pVideo chuyển động chậm 1080p,HDRChụp ảnh độngChế độ ban đêmChế độ chân dungSuper macroToàn cảnhChuyển động chậmChuyển động nhanhQuay đêm Ultra Night VideoChụp ảnh bằng giọng nóiQuay video ở độ phân giải HDR10+,4K@30/60fps1080p@30/60fps720p@30fps,Adreno GPU,GPS: L1+L5Galileo: E1+E5a | GLONASS: G1 | Beidou | QZSS: L1 + L5 | NavIC: L5,152.3 x 71.2 x 8.08 mm,191g,Sạc 90W HyperChargeSạc không dây 50WHỗ trợ QC3+ / QC3.0 / QC2.0 / PD3.0 / PD2.0 / MI FC 2.0,USB Type-C,Kháng nước & bụi chuẩn IP68,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Hỗ trợ Wi-Fi 7,"Bluetooth 6.0, Dual-Bluetooth",2025,12 GB,5240 mAh,,5G,Cảm biến vân tay siêu âm,,Nhôm,Xiaomi HyperAIViết AINhận diện giọng nói AIPhiên dịch AIKhoanh vùng tìm kiếm AITrợ lý sáng tạo AI,,,,"4 MicHỗ trợ Dolby AtmosChứng nhận Hi-Res, Hi-Res Audio Wireless",,Hệ thống cánh tản nhiệt Xiaomi IceLoop,,
91,91,HONOR Magic V5 16GB 512GB,39.990.000đ,https://cellphones.com.vn/dien-thoai-honor-magic-v5.html,6.43 inches,OLED,"Camera góc siêu rộng 50MP (khẩu độ f/2.0)Camera góc rộng 50MP (khẩu độ f/1.6, OIS)Camera tele 64MP (khẩu độ f/2.5, OIS)",Màn hình trong: Camera góc rộng 20MP (f/2.2)Màn hình ngoài: Camera góc rộng 20MP (f/2.2),Qualcomm Snapdragon 8 Elite,Có,512 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,MagicOS 9.0.1 (Dựa trên Android 15),,"Màn hình trong: 2352 x 2172 pixelMàn hình ngoài: 2376 x 1060 pixel1,07 tỷ màu, Màn hình chăm sóc mắt cận thị AI, tần số 4320Hz PWM giảm nháy sáng, Điều chỉnh độ sáng động, Màn hình đêm theo nhịp sinh học, Màn hình tông màu tự nhiên","Tám nhân (2×Prime 4,32 GHz+6×Performance 3,53 GHz)",120Hz,Màn hình gập,Hỗ trợ 4K (3840 × 2160 điểm ảnh),"Hỗ trợ zoom quang học 3x, zoom kỹ thuật số 100x, Chụp cảm biến chuyển động AI, Chụp ảnh AI, Góc siêu rộng, Khẩu độ, Video nhiều chế độ, Chụp đêm, Chế độ chân dung, Ảnh, Chế độ chuyên nghiệp, Video, Toàn cảnh, Hình chìm mờ, Quét tài liệu, Độ phân giải cao,",,Adreno 830,GPS(L1+L5) / AGPS / GLONASS / BeiDou(B1I+B1C+B2a+B2b) / Galileo(E1+E5a+E5b) / QZSS (L1 + L5),"Chiều cao 156,8 mmChiều rộng: Gập: 74,3 mm Mở ra: 145,9 mmĐộ dày: Gập: 9 mm Mở ra: 4,2 mmPhiên bản Trắng Ánh Trăng: Gập: 8,8 mm, Mở ra: 4,1 mm",Trắng: Khoảng 217 g (bao gồm pin)Các phiên bản khác: Khoảng 222 g (bao gồm pin),Sạc Siêu Nhanh HONOR 66WSạc Siêu Nhanh Không Dây HONOR 50W,,"IP58, IP59","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển,Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","Wifi 7 802.11 a/b/g/n/ac/ax/be, 2x2 MIMO2.4GHz/5GHz/6GHz","6.0SBC, AAC, LDAC, aptX, aptX HD, aptX Adaptive, LC3",10/2025,16 GB,5820 mAh,,5G,,,,,,,,HONOR Sound,,,,
92,92,OPPO Find X9 16GB 512GB,26.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9-16gb-512gb.html,6.59 inches,AMOLED,50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono),32MP f/2.4,Dimensity 9500 5G,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,"ColorOS 16, nền tảng Android 16",1256 x 2760 pixels,"Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits",8 nhân,120Hz,Đục lỗ (Nốt ruồi),"4K 120/60/30fps, 1080P 240/120/60/30fps, 720P 480/240/30fps","Chụp đêm, chân dung, PRO, toàn cảnh, XPAN, Hasselblad HI-RES, Google Lens, chụp dưới nước, quét tài liệu","4K 60/30fps, 1080P 60/30fps",Arm Mali Drage MC12,"GPS, GLONASS, BDS, Galileo, QZSS, NavlC",156.98 × 73.93 × 7.99 mm,203g,Sạc nhanh có dây 80WSạc không dây 50W,USB Type-C,"IP66, IP68, IP69","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt","Wi-Fi 6, Wi-Fi 2.4G/5G, 802.11 a/b/g/n/ac/ax",v6.0,10/2025,16 GB,7025mAh (Typ),Không,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,,,,,,,,,
93,93,Sony Xperia 10 VII 8GB 128GB,10.500.000đ,https://cellphones.com.vn/dien-thoai-sony-xperia-10-vii.html,6.1 inches,FHD+ OLED,"50MP (F1.9, 24mm, 84°) + 13MP (F2.4, 16mm, 123°)","8MP (F2.0, 26mm, 78°)",Snapdragon® 6 Thế hệ 3,Có,128 GB,2 Nano-SIM,Android™ 15,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, cảm ứng 120Hz, DCI-P3 100%, Triluminous display, chuyển giữa nhiều cửa sổ",,120Hz,,"Chống rung quang học (OIS/EIS), SteadyShot, quay chậm","Chụp liên tục 10 hình/giây, lấy nét tự động nhanh, chống rung OIS, zoom AI 6x, HDR, chụp đêm, toàn cảnh, chụp tay, hiệu ứng bokeh, đèn LED và flash trợ sáng.",,,"A-GPS, A-GLONASS, BeiDou, Galileo, QZSS","153 × 72 × 8,3 mm",168 g,Sạc nhanh qua USB Power Delivery,USB Type-C,IP65/IP68,,"Hỗ trợ 5G, Bảo mật vân tay, Kháng nước, kháng bụi","Wi-Fi 4/5/6/6E (IEEE802.11a/b/g/n/ac/ax, 2.4/5/6GHz)",v.5.,10/2025,8 GB,5.000 mAh,,5G,,,,"Google Cast, NFC, kết nối thông minh",,Có,"Hi-Resolution Audio, High-Resolution Audio Wireless (LDAC)",,microSDXC (hỗ trợ đến 2TB),,,
94,94,Tecno Pova 7 8GB 128GB,4.590.000đ,https://cellphones.com.vn/dien-thoai-tecno-pova-7.html,6.78 inches,IPS LCD,108M+2M,8MP,MediaTek Helio G100 Utimate,Có,128 GB,2 Nano-SIM,Android 15,1080x2460 pixels,"Tần số quét 120Hz, FHD+, Độ sáng tối đa 900nits","2*A76 up to 2.2Ghz, 6*A55 up to 2.0Ghz",120Hz,Đục lỗ (Nốt ruồi),,,,Mali-G57@950Mhz,,168.6 x 76.6 x 9.31mm,226g,Sạc nhanh 45W,USB Type-C,IP64,"Cảm biến tiệm cận,Cảm biến ánh sáng,Cảm biến trọng lực","Kháng nước, kháng bụi",WiFi 2.4GWiFi 5G,v5.4,,8 GB,7000mAh,,4G,,,,Tecno AI,,Có,,"Loa kép Stereo, Dolby Audio",Up to 1 TB,,,
95,95,OPPO Reno10 Pro+ 5G 12GB 256GB,10.490.000đ,https://cellphones.com.vn/oppo-reno10-pro-plus.html,6.74 inches,AMOLED,"Camera góc rộng: 50 MPKính tiềm vọng: 64 MP, PDAF, 5x optical zoomCamera góc siêu rộng: 8 MP, f/2.2","Camera góc rộng: 32 MP, f/2.4",Snapdragon 8 plus Gen 1 8 nhân,Có,256 GB,2 SIM (Nano-SIM),Android 13,1240 x 2772 pixels,"1 tỷ màu, tần số quét 120Hz, HDR10+, 1100 nits, Kính cường lực AGC DT-Star2",1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510,120Hz,Đục lỗ (Nốt ruồi),"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR",Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu,"1080p@30fps, gyro-EIS",Adreno 730,"QZSS, GPS, GLONASS, GALILEO, BEIDOU",162.9 x 74 x 8.3 mm,194 g,"Sạc có dây 100W , Tiết kiệm pin, Sạc siêu nhanh SuperVOOC",USB Type-C,IPX4,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",Wi-Fi 6Dual-band (2.4 GHz/5 GHz),v5.3,09/2023,12 GB,4700 mAh,Có,5G,Cảm biến vân tay trong màn hình,Kính,,Mở khoá khuôn mặtTối ưu game (Không gian trò chơi)Tích hợp NPU MariSilicon XThu nhỏ màn hình sử dụng một tayMở rộng bộ nhớ RAM,,Không,Ứng dụng kép (Nhân bản ứng dụng)Đa cửa sổ (chia đôi màn hình),Loa képÂm thanh Dolby Atmos,,,,
96,96,iPhone Air 512GB | Chính hãng,28.990.000đ,https://cellphones.com.vn/iphone-air-512gb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,512 GB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),120Hz,Dynamic Island,4K Dolby Vision 60 fpsCinematic 4K30Action Mode 2.8K60Slow-motion 1080p240QuickTake 4K60 HDR,"Chống rung quang học (OIS)Zoom quang học 1x, 2xĐèn Flash True TonePhotonic EngineDeep FusionSmart HDR 5Ảnh chân dungÁnh sáng chân dung (6 chế độ)Chụp đêmPhong cách nhiếp ảnh thế hệ mới",4K Dolby Vision 60 fpsGhi hình képCinematic ModeQuickTake 4K60 HDR,GPU 5 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",156.2 × 74.7 × 5.6 mm,165 g,Sạc không dây MagSafe 20WSạc không dây Qi2 20W,USB Type-C,IP68Chống nước tối đa 6m trong 30 phút,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7,Bluetooth 6,09/2025,,Xem video: 27 giờXem video trực tuyến: 22 giờ,Không,5G,Không,Kính,Titanium,Apple IntelligenceSiri mớiNút tác vụSOS khẩn cấpPhát hiện va chạmFace ID,,Không,FaceTime HD 1080pSharePlayAirPlay 4K HDR,Âm thanh không gianThu âm stereo,,,,
